day	count
2019-01-22	6726
2019-01-23	6552
2019-01-24	4891
2019-01-25	3515
2019-01-26	3333
2019-01-27	3613
2019-01-28	2630
2019-01-29	2241
2019-01-30	2577
2019-01-31	2498
2019-02-01	1916
2019-02-02	1645
2019-02-03	2984
2019-02-04	2313
2019-02-05	1693
2019-02-06	1738
2019-02-07	1677
2019-02-08	1319
2019-02-09	1442
2019-02-10	2230
2019-02-11	1400
2019-02-12	1069
2019-02-13	1384
2019-02-14	1209
2019-02-15	1485
2019-02-16	1443
2019-02-17	1692
2019-02-18	1612
2019-02-19	1878
2019-02-20	1698
2019-02-21	1756
2019-02-22	1616
2019-02-23	1433
2019-02-24	2096
2019-02-25	1661
2019-02-26	1443
2019-02-27	1717
2019-02-28	1824
2019-03-01	1869
2019-03-02	2216
2019-03-03	3603
2019-03-04	2764
2019-03-05	1983
2019-03-06	2359
2019-03-07	2392
2019-03-08	2049
2019-03-09	2972
2019-03-10	7264
2019-03-11	5694
2019-03-12	4397
2019-03-13	5122
2019-03-14	6182
2019-03-15	7027
2019-03-16	2776
2019-03-17	3942
2019-03-18	3249
